date and time now = 21/02/2021 18:31:18
Ticker      24H Total    Recent    Prev    Change    Rockets    wallstreetbets    wallstreetbetsELITE    stocks    investing    SatoshiStreetBets    pennystocks    RobinHoodPennyStocks    StockMarket    Daytrading     Price    1DayChange%    50DayChange%    ChangeVol%  Float Shares    Industry                                Short/Float%
WANT             1025       121     904      -783          4                64                    882         0            0                    0             79                       0              0             0    58.820         -1.672           1.857       -36.728  N/A             N/A                                     N/A
TSLA              960       415     545      -130         16               863                     13        34            0                    0             10                      11             23             6   781.300         -0.772          -5.643       -53.726  771530247       Auto Manufacturers                      0.0679
TELL              771       104     667      -563          0               105                      0         0            0                  666              0                       0              0             0     3.580          4.070          28.162       -39.194  190499488       Oil & Gas E&P                           0.1674
ALPP              771        53     718      -665          0                 0                      0         0            0                    0            771                       0              0             0     6.880          7.668          44.250       -35.322  111129599       Electronic Components                   N/A
TRX               754        48     706      -658          0                15                      5         0            0                  734              0                       0              0             0     0.802          2.166          10.551         1.424  202989766       Gold                                    0.0104
KNOW              740        23     717      -694         11                56                     13         9            0                  662              0                       0              0             0    35.829         -0.243           0.000         0.000  N/A             N/A                                     N/A
INFO              687       687       0       687          0               687                      0         0            0                    0              0                       0              0             0    93.200          0.355           4.272       -47.454  394259945       Consulting Services                     0.0149
DON               685        18     667      -649          5                10                      8         0            0                  667              0                       0              0             0    37.990          1.334           3.636       -28.011  N/A             N/A                                     N/A
IQST              679         8     671      -663          0                 0                      0         0            0                    0            679                       0              0             0     1.439          8.195         176.200       -30.300  71188876        Telecom Services                        N/A
MNXXF             671         0     671      -671          0                 0                      0         0            0                    0            671                       0              0             0     0.610         -4.461          28.326       -36.301  105156435       Other Industrial Metals & Mining        N/A
VET               650       129     521      -392          2                 0                      0         0            0                  650              0                       0              0             0     5.520         -0.181           7.071         2.283  154557788       Oil & Gas E&P                           N/A
ONE               638       141     497      -356         12               215                    261         0            0                   83             79                       0              0             0     4.210         -0.941           9.162       -25.416  67957305        Education & Training Services           N/A
UBS               555         9     546      -537          0               534                     12         0            9                    0              0                       0              0             0    15.520          0.976           2.930       -38.739  3536342122      Banks—Diversified                       0.0019
ADV               546         0     546      -546          0               534                     12         0            0                    0              0                       0              0             0    10.050          0.000          -8.902       -43.240  N/A             Advertising Agencies                    N/A
SHO               546         0     546      -546          0               534                     12         0            0                    0              0                       0              0             0    12.620          3.954          12.426       -13.999  212337941       REIT—Hotel & Motel                      0.033099998
RSI               524       416     108       308          0               373                     16         0            0                   64             38                       5              0            28    19.750          4.277          -6.231       -26.225  N/A             Gambling                                N/A
OBSV              458       189     269       -80          0                 0                      0        98            5                    0             29                     326              0             0     5.050         27.204          44.473       219.564  41672780        Biotechnology                           0.0544
CTXR              446       240     206        34         20                40                      0         0            0                    0            104                     292              5             5     2.060         32.051          60.957      2191.179  56834269        Biotechnology                           0.041199997
VERY              432        56     376      -320          4                12                    335         0            0                    0             85                       0              0             0    10.420          4.096          10.162        89.710  1841228         Insurance—Life                          0.0084
SPY               415        35     380      -345          3                55                      0       331           15                    0              0                       0              9             5   390.030         -0.177           2.001        31.801  N/A             N/A                                     N/A
IRS               415        21     394      -373          1               381                      0         0           23                    6              0                       0              0             5     4.280          1.905          -3.787       -81.743  19067881        Conglomerates                           N/A
MARK              410       410       0       410          0                 0                    410         0            0                    0              0                       0              0             0     3.850         13.235          26.368         6.515  91205326        Internet Content & Information          0.0962
LOOP              410       410       0       410          0                 0                    410         0            0                    0              0                       0              0             0    11.190          7.184           8.259       -49.261  18989882        Specialty Chemicals                     0.0643
BRO               396         5     391      -386          0               396                      0         0            0                    0              0                       0              0             0    45.590          2.866          -0.129        40.869  232117051       Insurance Brokers                       0.0168
CAN               389       172     217       -45         27               199                    170         0            0                    0             10                       0              5             5    24.790         43.047         216.175       274.244  80825530        Computer Hardware                       N/A
SNDL              375       289      86       203         23               219                     54         0            5                    0             35                      57              0             5     1.530          5.517          42.029        43.746  436611788       Drug Manufacturers—Specialty & Generic  0.0552
ROLL              365       365       0       365          0                 0                    365         0            0                    0              0                       0              0             0   190.080          3.192           4.428       -12.998  24328258        Tools & Accessories                     0.015
ETH               348       119     229      -110          7                 0                     13         6            5                  301             23                       0              0             0    25.000          3.178           5.993       -13.915  21778492        Furnishings, Fixtures & Appliances      0.0868
ZOM               340        44     296      -252          1                10                     11         0            0                    0             71                     243              5             0     2.280          3.167          67.879       -70.829  526530736       Drug Manufacturers—Specialty & Generic  0.0777
AAPL              337       217     120        97          9                95                      4        20            5                    0              0                       0            213             0   129.870          0.123          -2.760       -15.782  16770804261     Consumer Electronics                    0.0055
CASH              312        21     291      -270          0                17                    286         0            0                    9              0                       0              0             0    43.500          1.541           8.075       -67.496  31526260        Banks—Regional                          0.0388
AGTC              284        14     270      -256          0                15                      0         0            0                    0             11                     258              0             0     7.030         -3.830          39.913       116.152  36253651        Biotechnology                           0.051
SIGN              276       271       5       266         10               237                     39         0            0                    0              0                       0              0             0     0.335         -0.298          26.343       -31.605  17633232        Conglomerates                           N/A
LOW               264       259       5       254          0               227                      0         0            0                    0              5                       0             32             0   177.540          0.214           3.815       -35.055  732004791       Home Improvement Retail                 0.010299999
ALV               263         0     263      -263          0                 0                      0         0          263                    0              0                       0              0             0    93.510          3.808           1.806        65.840  81301291        Auto Parts                              0.013099999
FREE              259       142     117        25          7                80                     64        19            5                   30             31                      15             10             5    13.790         -0.791          12.248       -29.908  32591579        Packaged Foods                          0.0425
RIO               247       247       0       247          0               227                      0         7            6                    0              0                       0              7             0    89.990          2.157           9.832        -0.299  1420747300      Other Industrial Metals & Mining        N/A
RKT               246        54     192      -138          3               205                      4         5            0                    0              0                       0             32             0    20.270          0.997          -1.929       -46.649  104277185       Mortgage Finance                        0.3076
MVIS              245       181      64       117          0                50                    147        10            0                    0             19                       5             14             0    20.500         13.636         103.753       -37.049  145449879       Scientific & Technical Instruments      0.1495
LTC               244         9     235      -226          0                 5                      8         0            0                  231              0                       0              0             0    40.680         -0.270           1.258        18.831  38447570        REIT—Healthcare Facilities              0.036199998
HUGE              239       126     113        13          7               103                     58        14            0                   38             12                       0             14             0     2.490          3.750           9.809       -41.575  16950624        Drug Manufacturers—Specialty & Generic  N/A
BEEN              236       147      89        58          2                 0                    159         0            0                   77              0                       0              0             0     1.190          0.000          -8.921       -84.351  N/A             Waste Management                        N/A
MGNI              234        32     202      -170          0                69                      0       133            0                    0              0                       0             32             0    58.560          8.646          43.416       -39.173  107258928       Advertising Agencies                    0.116000004
HCMC              232        90     142       -52          4                59                     68         0            0                    0            105                       0              0             0     0.004        -12.500         126.223       -67.133  91485328789     Grocery Stores                          0.0074
UAL               230       184      46       138          0               112                      0        24            0                    0              0                       0             94             0    48.030          6.828          11.026        32.596  311053145       Airlines                                0.0598
NHS               227       227       0       227          0               227                      0         0            0                    0              0                       0              0             0    12.230         -0.245           2.491       -49.838  N/A             Asset Management                        N/A
TECH              227       227       0       227          0               227                      0         0            0                    0              0                       0              0             0   389.550         -1.896           8.851        16.815  38554789        Biotechnology                           0.009
ASTI              225        17     208      -191          0                17                      0         0            0                    0            208                       0              0             0     0.044         24.788          65.933        18.081  8184359013      Solar                                   0.0385
EFT               221         0     221      -221          0               221                      0         0            0                    0              0                       0              0             0    13.900          0.506           1.494       -35.133  N/A             Asset Management                        N/A
TLRY              215        62     153       -91          0                67                      0       133            0                    0              0                       0             15             0    29.210          7.786          30.502       -32.432  130323793       Drug Manufacturers—Specialty & Generic  0.2045
